Seed,CUE_1,CUE_2,CUE_3,Sim_3vs1,Sim_3vs2,Dominant_Community,Total_Abundance_1,Total_Abundance_2
88,-1.9833208626537776e-09,-4.818349022773483e-10,-2.898113017446968e-09,0.01891748456058706,0.9776408775038539,Community 2,2.330627726772373,121.03279567871883
89,-1.2994004946059943e-09,-1.175836286074522e-09,-5.695202227290134e-10,0.27443888612037703,0.7254565001019192,Community 2,33.80050442156599,89.50887857210893
90,-1.1171955848286974e-09,-4.834297200419613e-09,-3.285802493798555e-09,0.5523969215219757,0.4484438067436495,Community 1,68.08644725143756,55.26501639680234
91,-8.799436385980648e-10,1.0548747126137315e-09,-1.739222705177855e-08,0.5968053372187223,0.32776575540411035,Community 1,82.89264037130377,40.33983440767628
92,-5.622888239225656e-10,-4.851783646302475e-10,-4.283159421017309e-09,0.2783017067789073,0.7224066486103187,Community 2,34.30105945883067,89.05283993623782
93,-4.425734159960641e-10,-2.1577843326267927e-09,-6.345186034794832e-09,0.8131241228840841,0.18444536239751919,Community 1,100.5673542714345,22.767241427058718
94,-1.4279858068221033e-09,3.2793102133963774e-10,-1.6806668982578107e-08,0.42266211814213905,0.5596945367147252,Community 2,54.397117323093575,69.04945608242741
95,-1.8525606832846928e-09,-2.0928385485085954e-09,-1.7138055514283562e-09,0.48866083728147247,0.4952680229558444,Community 2,60.136921789672584,63.011659785015404
96,-1.9431882542151483e-09,-2.891001289681201e-09,-1.3546552840226734e-09,0.6033400193000954,0.3852869469129381,Community 1,75.10301404970124,48.02380443257874
97,-9.647516723094458e-11,3.4169594650996956e-10,2.505131724612731e-09,0.5197343309935649,0.4182270845447089,Community 1,66.82958213385149,56.48297209029083
98,-4.831888827994483e-10,-6.313455682180764e-10,-7.702778198883255e-11,0.6379996437673401,0.33935358808822313,Community 1,78.63039243940526,44.646568496604054
99,-5.626517759354137e-10,-1.098857455323643e-09,-1.1947118979367893e-09,0.5292297052708248,0.4712849759377086,Community 1,65.12531876553037,57.972837346988214
