Seed,DilutionRate,Species_ID,CUE,C_final
53,0.001,21,0.2679886736328282,9.252124275253392
53,0.001,22,0.16205462722106845,1.238952830025494e-13
53,0.001,23,0.02636220851162637,3.956560225015377e-27
53,0.001,24,0.11731488706445825,1.7950746768004693e-17
53,0.001,25,0.19849736830685635,6.0533601647596e-09
53,0.001,26,0.14082989799134707,1.5220432164571618e-15
53,0.001,27,0.0888273992066873,1.727183634294859e-20
53,0.001,28,0.19891515517226468,2.470408862277785e-08
53,0.001,29,0.19026254572600118,1.7473713100749459e-09
53,0.001,30,0.14998783059384252,3.938770168186548e-14
53,0.001,31,0.1795338593590234,1.389102267248748e-11
53,0.001,32,0.13124303975542445,2.507917990033774e-16
53,0.001,33,0.24708685620538928,0.15537994999998872
53,0.001,34,0.12787317161774087,3.7446755501877267e-17
53,0.001,35,0.2560755398167092,0.29473285764089574
53,0.001,36,0.2037652201388147,3.7631038379679524e-07
53,0.001,37,0.21423857716566533,9.339821976552872e-05
53,0.001,38,0.08331231109900111,5.870922383815695e-21
53,0.001,39,0.15796210687867032,6.82923336685568e-13
53,0.001,40,0.17135408499192578,1.2474796825189257e-10
53,0.001,41,0.2051127307403018,1.0360621412431786e-07
53,0.001,42,0.0438040793504737,5.6818107902939965e-25
53,0.001,43,0.09073692543620925,4.546304954445151e-20
53,0.001,44,0.16614635061479252,6.893148919029254e-12
53,0.001,45,0.15818396854441705,7.634241808861261e-14
53,0.001,46,0.11019628452394714,7.372685934270482e-19
53,0.001,47,0.2414638916503636,0.09303458497275174
53,0.001,48,0.10380131915827424,1.1496492910536341e-19
53,0.001,49,0.215170007358402,5.101522452049843e-05
53,0.001,50,0.19062721159422982,1.5411100482713122e-08
53,0.001,51,0.10207608359411775,1.0526102307343482e-18
53,0.001,52,0.26154380973395747,3.3135926367091963
53,0.001,53,0.15867361443335876,4.055160944257362e-13
53,0.001,54,0.20651400335514938,1.0529540217449743e-06
53,0.001,55,0.23908661876877438,0.011668259384864934
53,0.001,56,0.11010501868873432,2.156719058047247e-18
53,0.001,57,0.1665764758842427,5.833075568700412e-12
53,0.001,58,0.1831351903676452,8.118670754669027e-10
53,0.001,59,0.1823378994940772,2.0791666197406497e-11
53,0.001,60,0.11324425123751677,1.1773420048134917e-19
53,0.001,61,0.12726179782199804,4.211881011997087e-17
53,0.001,62,0.1277400786259134,3.407268186195268e-17
53,0.001,63,0.07605675556254615,9.490463158563659e-23
53,0.001,64,0.2045416348114378,5.954529881981368e-07
53,0.001,65,0.13245964703160698,9.891117994560758e-16
53,0.001,66,0.06476953030541138,2.4677758382716457e-24
53,0.001,67,0.21874887216920458,2.9755955220772868e-05
53,0.001,68,0.20882440836677174,7.638112700786622e-06
53,0.001,69,0.19555208486858888,7.599822806826299e-08
53,0.001,70,0.11210161707072404,1.3231416989402926e-17
53,0.001,71,0.13132488957671837,4.5138018955120356e-17
53,0.001,72,0.17233813740657522,1.2721651089205266e-10
53,0.001,73,0.1676132633285414,7.0366645401637855e-12
53,0.001,74,0.16889502386779187,2.356020268904726e-11
53,0.001,75,0.10016655974916638,1.4099275098835594e-20
53,0.001,76,0.14700052957867651,6.304601433804056e-14
53,0.001,77,0.16845864247499004,4.255049923847789e-11
53,0.001,78,0.2099711037664899,1.5032763026034115e-06
53,0.001,79,0.21535827523363418,4.310418427154745e-06
53,0.001,80,0.19735609234685092,3.472618526541767e-09
53,0.001,81,0.11112881641545516,1.0788987805733941e-19
53,0.001,82,0.12136762498458611,1.2438231595637328e-17
53,0.001,83,0.09640343208943157,2.155272110802301e-20
53,0.001,84,0.13716109675991606,2.642197023574115e-15
53,0.001,85,0.1799376989628492,2.1948211423995147e-10
53,0.001,86,0.10281402745142487,1.3525645583700638e-19
53,0.001,87,0.18795185728635733,5.512189226589908e-10
53,0.001,88,0.18054641031107774,1.437866527235399e-10
