Seed,Overlap,CUE1,CUE2,CUE3,Num_Survivors1,Num_Survivors2,Num_Survivors3,Competition1,Competition2,Competition3,Facilitation1,Facilitation2,Facilitation3,Depletion1,Depletion2,Depletion3,Total_Abundance_1,Total_Abundance_2,Total_Abundance_3,Dominant_Community,Similarity_3vs1,Similarity_3vs2
3580582526,0.5,0.4369985131042824,0.4422065375171881,0.4382290185918433,12,9,16,0.7421878642778206,0.7433056659900017,0.5570723511463216,0.04947323950553004,0.04972540408667845,0.07437795093098162,23.30448100847139,23.134867661115816,37.64395333843666,122.95697767743317,123.05125458802941,194.055288618939,Community1,0.3962318548104278,0.42011352252596723
3580582526,0.75,0.4409521637552043,0.4403728076763442,0.4408344195136089,10,13,16,0.7554268794077736,0.7438057263836665,0.6539508814768413,0.050231258374125565,0.049992059332517165,0.0631193234140987,22.856436799160342,23.095178602952565,31.552847523410104,123.16013374406978,123.03360933267577,158.51602648157643,Community1,0.5083289853682589,0.336811294748641
3538112157,0.25,0.43246708907614956,0.440344663277592,0.43431850083194484,13,14,25,0.7457088279702531,0.7479526804014148,0.45827477796099975,0.049574412715707936,0.0498931655121619,0.08762733124949491,23.562401254490723,23.347296073647176,43.30105993898166,122.87534722176615,122.9308074966922,235.33383583180063,Community2,0.3905199911387074,0.4427169565944046
3538112157,0.5,0.4371627839234515,0.44508451217674105,0.44147793024501425,10,9,12,0.7473298224331233,0.7499664134133612,0.558764725478689,0.04961081851392222,0.050160364868553416,0.07475910213252071,23.277277750005755,22.885427104345258,36.957976589809896,123.03032359450944,123.15037528105675,194.37369824386943,Community2,0.4563768190424897,0.6014345250629337
3538112157,0.75,0.43875007635753577,0.4381825447725482,0.4398609914913183,12,14,13,0.7541929229270068,0.7523488341441472,0.6549110457359814,0.05031469141861174,0.04998775777504218,0.06319212806854048,23.277614832678612,23.55720442697205,31.21762001481413,123.02519750711498,122.93875467067319,158.6458944831984,Community1,0.5135718060106584,0.3762933984346012
2353231736,0.25,0.44059184420858916,0.44228779110798205,0.4420480847495696,10,11,14,0.7554780932988878,0.7540341224668919,0.4681549398229329,0.04993559545838719,0.05030661848322955,0.08833181556477651,23.060979138207834,22.901425433510344,42.2758006720918,123.10393971736985,123.18436198273899,235.83034811079165,Community2,0.43508293010900045,0.5076946892010717
2353231736,0.5,0.4430863924247884,0.43269749899492566,0.43581336328938947,13,11,18,0.7559462003820508,0.7523691842788413,0.5624398901074031,0.05044354351682211,0.04956821984700573,0.07501618376479707,23.215776760448847,23.531798555453662,38.20155239074645,122.94971064247267,122.8526426491911,193.7678686528613,Community1,0.5307359420982438,0.4318361962795626
2353231736,0.75,0.4461202516229652,0.43776191181200647,0.44215637306923483,13,14,14,0.7462284490212386,0.7471668973214476,0.6481321044058326,0.049798350999799554,0.05027582834183372,0.06304388290849242,23.36031181246772,23.221488486658973,31.454880206169037,122.9254727852599,122.96647941070826,158.49497585525413,Community2,0.45603876382421193,0.39096753094524384
1041721759,0.25,0.4405022752306088,0.4448645554456547,0.4438310185701976,12,9,15,0.7532887045440756,0.7477822608835051,0.4662160834132845,0.05001919645986322,0.05008849760625823,0.08810690011611648,23.049914632203844,22.834884870518838,41.67447051653819,123.18833061808813,123.23944378552332,236.19747517250198,Community2,0.480101983357091,0.4766145394529082
1041721759,0.5,0.44105292457955625,0.43624207580489377,0.4398599520652019,14,15,16,0.7506236396528015,0.7549329194223359,0.56296623149424,0.05043978776434553,0.050118275569359085,0.07545262054894054,23.18375347077055,23.166196111186792,37.24996703178881,122.97615529874868,123.0307428174349,194.2015562267789,Community2,0.5516154648923588,0.4816635127828256
1041721759,0.75,0.441991736589552,0.44421212943212707,0.44483051222453207,15,11,11,0.7532071358056741,0.7480058901323694,0.6546201762865193,0.049945934323399464,0.04978654191712803,0.06280605677869001,23.256954174436068,23.167330223977103,31.242500292396024,122.96475168245068,123.05097920968247,158.75132327683653,Community2,0.4579195128360144,0.47227082605154735
4180932031,0.25,0.4368858763791295,0.4459935325356114,0.44140036499008634,14,11,14,0.7445545809203774,0.7482056945919355,0.46341111853754424,0.04959858121546208,0.05029976027427502,0.08792028767933947,23.30259899340796,23.089005102961092,42.4200026927072,122.94800210474911,123.11349874188039,235.70427882664288,Community2,0.4108632024191099,0.5390469958899682
4180932031,0.5,0.4439640096643894,0.44289693426627597,0.44410813031059554,9,11,13,0.7561012047649858,0.748187947835598,0.5627599121025311,0.049968787289457264,0.050041475590480486,0.07495829417440351,22.990965434247524,23.019594175847104,37.340268677468124,123.14471919556541,123.05530609181103,194.04489722155853,Community1,0.4874611892474302,0.49912452522290385
4180932031,0.75,0.4348190069615725,0.457111579233652,0.44849905308544263,14,8,13,0.7537424583757251,0.7588529546505176,0.659544272584211,0.04989659488032973,0.05064217545320381,0.06331562722866593,23.33764100742746,22.152347557813915,31.170801644847202,123.07497014452622,123.43025727150831,158.7072269481243,Community2,0.28905861786016185,0.58049542384476
3560131244,0.25,0.4314212712466822,0.4510924923792892,0.44037641173068176,12,9,16,0.7506724569025455,0.7571969846094745,0.4651223528711975,0.050045194511186386,0.05036007774603052,0.08834307225210324,23.611665836709985,22.65313988871519,41.94389559327689,122.8516395355119,123.15316882168572,235.9135808834106,Community2,0.36606832136712397,0.5522733796680754
3560131244,0.5,0.4389577282827828,0.44025319993117484,0.43762069035900564,11,15,18,0.7602095634469337,0.7510726891245187,0.5655174263171805,0.04999685467045812,0.04996795928196764,0.07507600095372173,23.217110970364796,23.273130281755975,37.86329294946578,123.05871103797205,123.00161143766236,194.04784774804295,Community1,0.4690782868983453,0.4392919096557659
3560131244,0.75,0.4393669629912417,0.43589085030107294,0.43392352897960806,10,11,14,0.7379186826083366,0.7550639207633436,0.6516277086662272,0.04938909475946561,0.04955588543758658,0.06236228277877868,23.529295039338564,23.43355583743741,32.04588816453866,122.74685363748516,122.92623702152912,158.32974230284466,Community1,0.45815970608459367,0.4142469795410493
1017192384,0.25,0.4497500874599179,0.44988728680444035,0.44927984763778595,10,13,17,0.7618756348105945,0.7566795181938454,0.47037921663333443,0.0502118882544698,0.05011599461582129,0.08818517959755638,22.870562640045442,22.706400587301708,42.03231062318718,123.14714830760126,123.27053113745467,235.92048432189188,Community1,0.6207599731200191,0.48214805878454003
1017192384,0.5,0.4357250709338967,0.44318783479237683,0.44164988668753585,14,11,15,0.7508022220176144,0.7525196645550927,0.5642667399454366,0.05001190564383278,0.049907610418001,0.07492155371852095,23.38631174594107,23.095198459315704,37.21385371119472,122.95700557751381,123.12599485166263,194.2445228030207,Community1,0.36501240491303477,0.4595637587411966
1017192384,0.75,0.440368429345429,0.44258036302237425,0.43912209298661,13,10,15,0.7534037473843334,0.7465765429069342,0.6548616526372302,0.04985589899066491,0.04988090005168282,0.06288352740882708,23.19304179452628,23.16588629517292,31.76809209164676,123.09286207388801,122.97477859910501,158.56989841662065,Community2,0.4520628651039199,0.4047903758109478
1196863294,0.25,0.44062468069344324,0.434851699076616,0.43505075758697026,12,15,24,0.7545597083122196,0.7572835469888479,0.46770398680322706,0.05048678491867282,0.05074952621225053,0.08902364597230918,22.91711404807284,23.342380868150478,42.37816526797276,123.15516829253878,123.02592636805123,235.7378417687727,Community1,0.4105877280664535,0.3724307991531792
1196863294,0.5,0.4373928176386493,0.4465321553014358,0.44318862923801017,11,10,18,0.7502427006610018,0.759814334291724,0.5661529376182465,0.049842063783738615,0.05007895798982622,0.07493024608100636,23.19107020634017,22.923491043679775,37.507044269693864,123.11350568530791,123.14870412209659,194.10200108717657,Community2,0.4883788227517051,0.5040335172987075
1196863294,0.75,0.447812183202277,0.43481397053097437,0.4428177091576851,6,15,19,0.7547944815371643,0.7483424326878961,0.6532069922476437,0.05026649574700836,0.05008019685431329,0.06318244747881187,22.754527412162215,23.31352178806528,31.431235609650162,123.11843139479885,122.93074501905393,158.5342233556235,Community1,0.5708343127350293,0.4986499187436837
2778514601,0.25,0.4438033025903203,0.44772039312513306,0.4431716547722587,14,8,21,0.7494584966191751,0.7589064850939022,0.467212297778741,0.04976264012662931,0.05039967945389808,0.0881275433291843,23.232625450953826,22.58118199539003,42.197267772571905,123.0362987061046,123.26151885691314,235.87345882412836,Community2,0.44661973441506786,0.5695922307160328
2778514601,0.5,0.44391891283264134,0.43418724127721164,0.43986393115678635,14,16,12,0.7492301563636797,0.7518569538373819,0.5619244130165328,0.04995008428160927,0.049931983859785714,0.07502576436873824,23.287316478250403,23.45147655968264,37.40428312489983,123.05487304093992,122.91733968250118,194.145353632269,Community1,0.4396749362521647,0.3398729958658522
2778514601,0.75,0.4453319796225877,0.431146933610973,0.4376459761603932,11,12,13,0.7507698794921424,0.7539606391042379,0.6562772482793454,0.050095117212718095,0.04976233004921446,0.06297386011343799,23.06571322063217,23.567761955976927,31.11472030301775,123.06142867101343,122.82946110488065,158.74154891520038,Community1,0.47642728221016994,0.2613066360798687
