Seed,Community CUE 1,Community CUE 2,Community CUE 3,Total Abundance 1,Total Abundance 2,Dominant Community
70,0.06662405045035849,0.277209195540884,0.6050411964073319,3.996157828691841e-13,6.237197183342074,Community 2
71,0.16055990387408578,0.3894591394261813,0.6032057279701083,5.600330777390079e-16,6.62601738283111,Community 2
72,0.18271872773823014,0.4102072210187196,0.7369402160256766,0.3214783117883944,6.248926143172989,Community 2
73,0.07758015544850629,0.5039403227603286,0.7664722715076283,8.210016590025638e-24,7.482304101210164,Community 2
74,0.21419545776439441,0.18135181727782917,0.5891080233327742,0.3179178182864611,5.837074658101368,Community 2
75,0.005010961848168753,0.33854922481115135,0.6585119959527749,2.0356431456430997e-19,6.225944283025106,Community 2
76,0.2005279843044631,0.2847555051940042,0.74027788359001,0.7617560320495527,5.068476551624272,Community 2
77,0.05117151315267005,0.47605655777241757,0.7043570752356575,1.0787033494764079e-14,7.176439840560105,Community 2
78,0.07889115516203954,0.28121537096681326,0.6050668915070221,3.385917284441598e-15,5.9995138848703435,Community 2
79,0.4291517970575663,0.41981184708186503,0.7372843998409236,2.044447708431025,4.127679679905457,Community 2
80,0.141945091102074,0.34459403836837876,0.619756092075668,1.707624287278269e-05,6.488765575088663,Community 2
81,-0.20933679624170368,0.3493751487042686,0.7518769871282582,1.4898776595206274e-06,6.429553921148113,Community 2
82,0.13781608380213112,0.44415276935932274,0.6175524188980819,1.3677868663610377e-17,6.923822227944801,Community 2
83,-0.2796304694158496,0.3050822386700125,0.7348552109781125,2.6862442237657937e-16,6.185381567471436,Community 2
84,0.4191609745027795,0.4251487502459556,0.5777039446399709,1.2468216817105373,4.990081051798314,Community 2
85,0.30934303541355584,0.48515371421226283,0.6451175664577788,9.528675711714627e-08,6.936070474668228,Community 2
86,-0.034802553042099386,0.5344407467084573,0.7454789704051953,3.8104085375638577e-19,6.820010276175462,Community 2
87,0.3416076506365826,0.4199064686028397,0.6917357461473139,1.1260017126098745,5.54538012867988,Community 2
88,0.2952188532250624,0.5054167639488005,0.6313728461759589,7.110788412720896e-16,7.510003889375395,Community 2
89,0.253333592535229,0.5045431139615102,0.7031376037309139,8.725067474229885e-20,7.536677585665917,Community 2
90,0.21679353242934962,0.5071578302233913,0.695283179457504,3.662812566293041e-16,7.427484743440967,Community 2
91,0.14311226000052227,0.3159537694670144,0.5767539070595713,5.652267780782975e-05,5.879171138965659,Community 2
92,0.15055221987223644,0.5476570598410848,0.7389007259381294,6.161513776910596e-10,8.13140004369278,Community 2
93,0.08080867925043722,0.38665050224053477,0.7125293664445488,0.22957730246448277,6.165130546100059,Community 2
94,0.0648437992922921,0.391176891664077,0.7012000062436275,1.2799861102539827e-11,6.570037928956458,Community 2
95,-0.1035946060644394,0.4635200024488984,0.8082484885713673,4.082516840398751e-15,6.902447326235912,Community 2
96,0.1447907945109141,0.5188630114325612,0.6519657554681573,7.870359499716462e-13,6.974654207703839,Community 2
97,-0.052025272904958786,0.33446046581970995,0.6606878174313516,1.8447041141055066e-18,5.937696704341868,Community 2
98,0.30742403924635847,0.597263753798862,0.6747774448639009,2.885422215872668e-16,8.036083853999317,Community 2
99,0.333464559145785,0.5151781163051323,0.5945873626088243,2.881194409072991e-17,7.285400573324984,Community 2
