b,N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Competition1,Competition2,Competition3
0.28,46,14,13,25,0.2931263329709449,0.29928412387481707,0.28288296015334885,0.6550630219104879,0.6559614873650079,0.6629197279517477,0.03205331472497606,0.030930409680152118,0.031587962216891155
0.29800000000000004,46,18,14,19,0.3017282705326694,0.3064999088428683,0.30039997725589146,0.6568398403839691,0.6600771969374061,0.661570657529015,0.03168502636569366,0.03215602461509697,0.03194516626228071
0.31600000000000006,45,15,23,17,0.3391826419274871,0.3417153858095004,0.3438115421163323,0.6607354468519402,0.6559413745689345,0.6646571115662481,0.030124201514468384,0.030634209118619152,0.030369170722768415
0.3340000000000001,44,21,14,18,0.3384438821931623,0.3294250417801951,0.37046399228755283,0.6664834102320064,0.6647338186110726,0.6679906549436959,0.0315197418749684,0.030737910182031123,0.031069133507078798
0.352,44,16,11,15,0.3226334658402303,0.3703174971447627,0.3561902742180532,0.6784360305099474,0.6815440878531804,0.6854820897541933,0.032631821367243914,0.030695041602866253,0.03168676539293727
0.37,43,20,19,28,0.37028898555124684,0.3895304992590033,0.36297096802479933,0.681566983759502,0.6810981408699001,0.6831710709422346,0.03213302784834816,0.03143118297896078,0.03177502020366635
0.388,42,14,17,18,0.42509930400070967,0.4098226264057379,0.4176901896491396,0.692623576210398,0.6891151501966559,0.6932548687619795,0.03141704124392217,0.03142008518691721,0.03144718026266204
0.406,42,18,16,18,0.40920317969011877,0.3870250245873891,0.4213457272680582,0.6897868728966176,0.6902476432579213,0.6920653957882995,0.03157592915778022,0.031544800442919206,0.031585491815557476
0.42400000000000004,41,15,18,15,0.44359929938340964,0.45235077655112044,0.4492563863256037,0.6927684765211265,0.6908177968478522,0.6978040668119746,0.03249414784461133,0.030038093468303762,0.031300832973172335
0.44200000000000006,40,18,20,15,0.48604637568661296,0.42475072374616657,0.45404040541429846,0.6958281969351479,0.6971105908072076,0.7006112552450472,0.029921799357302555,0.031015041589787306,0.030485560519160904
0.4600000000000001,39,18,11,13,0.49504359250231583,0.48767567543092,0.4938745727022764,0.7061923214552583,0.7108245192990909,0.7118582912643185,0.03175818435301986,0.032246312311402715,0.03198769496845135
0.4780000000000001,39,17,17,24,0.48675893863651587,0.4725161682193256,0.49808017058348597,0.7088887216854012,0.7106123709845881,0.7112290586938961,0.03293852768260138,0.03163153681364884,0.03226881332913313
0.496,38,15,18,19,0.5421812039467329,0.5087841924063992,0.5335254683722136,0.7166524351654643,0.7151488862020301,0.7175478358963302,0.030473421792704136,0.030707407681781436,0.030586588802161967
0.514,37,18,21,20,0.5242148031262543,0.5242616432158507,0.5453708333319682,0.7199660740208143,0.7202597417791128,0.7226674394585116,0.031014971948447666,0.03164839097208694,0.0313055782530276
0.532,36,14,20,20,0.5763653844367614,0.5450446342880064,0.5902470889276092,0.7286885916319041,0.7247699303016041,0.7305212814539889,0.03134715999398204,0.03142723134595198,0.031350487591716984
0.55,35,19,13,13,0.584625986546394,0.5953545755292052,0.6031206096052145,0.7365855726955715,0.7402985199410437,0.7410248604838533,0.03177992099049215,0.031072399763890698,0.03142206553944081
0.5680000000000001,34,15,17,20,0.6101903257527979,0.6272009826935275,0.6269349529356414,0.7379816983614502,0.7360136765482898,0.7402098433361237,0.03153408611231219,0.03137416020040335,0.03147270068450202
0.5860000000000001,33,22,15,20,0.645521924960663,0.635221484480565,0.6392230307261866,0.7383743688249677,0.7413080887429894,0.7419938005905915,0.03170780766956547,0.03230830125696956,0.0320263307699977
0.604,32,16,17,16,0.6475473498978503,0.6670364189415867,0.6622336370391245,0.7535830458423255,0.748236559509548,0.753574680842089,0.031173462950172464,0.03055833442501921,0.030883526345154434
0.622,31,13,14,18,0.6784409180340504,0.6721449007614569,0.6838498844130229,0.7527427666081778,0.7539392649425185,0.7558817711534036,0.03213848218079079,0.030986915531165442,0.03152841956689722
0.64,30,15,15,20,0.7004488620808734,0.6887358314780823,0.7009270809016946,0.7597455372662776,0.7609594333920757,0.7620386593910169,0.030380497787463105,0.03260661224586263,0.03146218761989123
0.658,28,14,10,19,0.7449411056505806,0.7476055694935932,0.7454559049005597,0.7625716478307334,0.7659154842103788,0.7653185901947873,0.029968247239338046,0.030707328388435345,0.03034693231581989
0.676,27,13,16,19,0.7531615618935333,0.7626765509274082,0.7590844991575644,0.7672306374521444,0.7662631882987778,0.7681859709040205,0.031589957847372174,0.030749237370801364,0.031146258476130156
0.6940000000000001,26,15,16,16,0.7732418149833763,0.7629141780511709,0.7750157552481154,0.7707012195211699,0.7743058932289774,0.7758798413391145,0.0313806252496384,0.03111628820039027,0.031246896047426986
0.7120000000000001,25,12,12,14,0.7963226298853368,0.7908769816529014,0.7935328966224177,0.7817641110934401,0.7798826968767475,0.7828854837212049,0.030653315632582372,0.030866494647220737,0.03074172501249336
0.7300000000000001,23,14,19,21,0.6418056836254626,0.6397256438839647,0.6425324519861949,0.780390675761574,0.7817503997096783,0.7840279441872801,0.030938034603773458,0.03250752425064973,0.031731557799130866
0.7480000000000001,22,8,11,16,0.6611750879175976,0.67460206923183,0.6736946088095944,0.8007856701596329,0.7881765003717952,0.8013822374621703,0.03124676932281678,0.030645682154606193,0.03095141654150193
0.766,21,13,10,14,0.7082020494521675,0.7063928459023918,0.7029651432328845,0.7937625587636107,0.7931984082086732,0.7960831674020177,0.032436408101643166,0.03133892229773663,0.031899082629320966
0.784,19,17,11,16,0.7567413646354613,0.7561491118559218,0.7592367916612528,0.8004515907495905,0.8009135650898145,0.8021290026977257,0.031696619274582165,0.031644878456661155,0.0316910901883935
