Community,Species,Status,CUE,C_final
2,Sp64,Survival,0.16920137453065193,0.002849924759511038
2,Sp65,Extinction,0.0023314182720055076,1.3340568073382828e-13
2,Sp66,Survival,0.20846106750388876,0.2114823418529354
2,Sp67,Survival,0.1808145385921461,0.0016667230231468487
2,Sp68,Extinction,0.1122002705124365,7.066761180605966e-08
2,Sp69,Survival,0.17702764850052422,0.005707013075338853
2,Sp70,Survival,0.18057927416446154,0.003565409673652227
2,Sp71,Survival,0.14563218225782984,0.0001884580460477063
2,Sp72,Survival,0.14994423140284077,0.00028507256986364237
2,Sp73,Extinction,0.03599526713308751,1.5028404306622003e-10
2,Sp74,Survival,0.20966895875894448,0.5763184877243349
2,Sp75,Survival,0.17554799682974262,0.0010823685794379453
2,Sp76,Survival,0.14932130766154234,0.000258337548733474
2,Sp77,Extinction,0.0649363494227266,9.794599954609002e-10
2,Sp78,Survival,0.18393000960415065,0.006414191534984941
2,Sp79,Extinction,0.04533833880157802,2.7889178580686955e-10
2,Sp80,Extinction,0.12256993658116874,1.4731149226723564e-06
2,Sp81,Survival,0.16892558596445786,0.00017716928677731728
2,Sp82,Extinction,0.11628152315061434,4.0446350573473657e-07
2,Sp83,Extinction,0.06795045249247712,1.1681207154712067e-10
2,Sp84,Survival,0.2110889523337846,2.0964767709767727
2,Sp85,Survival,0.21173260362350582,0.044868815414092426
2,Sp86,Survival,0.1604977451112491,2.4078186343717196e-05
2,Sp87,Survival,0.1556216235169935,0.0001958127119103023
2,Sp88,Extinction,0.0759555534710442,7.215872471109047e-07
2,Sp89,Survival,0.14962874538122936,0.00015488918830846012
2,Sp90,Survival,0.13836854903210666,1.804803746441702e-05
2,Sp91,Extinction,0.02004151868020316,2.3676533801111403e-11
2,Sp92,Survival,0.12439143269105463,2.911612003486095e-05
2,Sp93,Survival,0.24019044019649652,7.6508448145980985
2,Sp94,Extinction,0.04387679119572599,5.148752755631836e-11
2,Sp95,Survival,0.14980867038197343,3.754575028279888e-05
2,Sp96,Survival,0.2412997894273639,16.35102145246963
2,Sp97,Survival,0.16366241900396422,0.0004408620296058662
2,Sp98,Survival,0.15360694812105424,6.672108567876419e-05
2,Sp99,Extinction,0.14441773717849535,6.1571845322008115e-06
2,Sp100,Survival,0.23250519362844693,1.7691647783552888
3,Sp1,Extinction,0.5073190218838215,4.081899432989412e-12
3,Sp2,Survival,0.5514403738142452,0.024419765973090885
3,Sp3,Survival,0.5534530181844267,0.07292754357219955
3,Sp4,Survival,0.5420706108308742,0.00019026071045557025
3,Sp5,Survival,0.5648549980004905,17.67980655962651
3,Sp6,Survival,0.5611904785180971,0.4432665910287606
3,Sp7,Extinction,0.5315179599849592,9.55760135320445e-07
3,Sp8,Extinction,0.5119513811912603,8.602015257329071e-11
3,Sp9,Extinction,0.44449125390068744,1.2668324168987117e-23
3,Sp10,Extinction,0.45554025293790973,1.2123209574684143e-23
3,Sp11,Survival,0.5433369679266115,0.003240284698092664
3,Sp12,Survival,0.5579779744108457,9.184825186229956
3,Sp13,Extinction,0.5325248751878838,5.83035079257735e-06
3,Sp14,Extinction,0.5211882295946476,2.8002852233388436e-08
3,Sp15,Extinction,0.5110278685000554,2.2122599397869405e-10
3,Sp16,Extinction,0.5136769482152184,2.8509122386637986e-10
3,Sp17,Survival,0.5341835746104668,2.1013566243920036e-05
3,Sp18,Extinction,0.5015099432253612,1.754772610393616e-14
3,Sp19,Extinction,0.5266435448260206,3.1530223131308265e-08
3,Sp20,Extinction,0.46888225672957007,1.9073378108106525e-19
3,Sp21,Survival,0.544584334958221,0.00020076427968315015
3,Sp22,Extinction,0.5084697451178967,7.311868027217603e-12
3,Sp23,Extinction,0.4100582840013929,4.308937128390181e-30
3,Sp24,Extinction,0.5100106421028295,6.199825937612797e-11
3,Sp25,Extinction,0.5015030027677009,3.545393940262133e-13
3,Sp26,Extinction,0.4010035113809182,2.8278763240730042e-30
3,Sp27,Extinction,0.5130572520300644,1.2843542853214187e-11
3,Sp28,Extinction,0.4130343106660873,2.502054773407681e-29
3,Sp29,Survival,0.5427758109132577,8.844577702657038e-05
3,Sp30,Extinction,0.5278088077954821,3.5127006251713604e-08
3,Sp31,Extinction,0.5001799599699904,7.831817447148725e-14
3,Sp32,Extinction,0.435872367922072,9.790906066500157e-25
3,Sp33,Extinction,0.49287305230240414,1.1196006090029198e-14
3,Sp34,Extinction,0.4663370258739631,8.370771707548193e-21
3,Sp35,Survival,0.5482132345971547,0.025407786198728813
3,Sp36,Extinction,0.4986930492649069,6.149852726235689e-15
3,Sp37,Extinction,0.5320935444234314,5.710979664439259e-07
3,Sp38,Extinction,0.5356017235009529,8.203288195710259e-07
3,Sp39,Extinction,0.5285218876768112,9.147451944833008e-07
3,Sp40,Extinction,0.4978086701797349,5.326672838998057e-15
3,Sp41,Extinction,0.4678008140754629,5.076841202204158e-19
3,Sp42,Extinction,0.468599358695956,1.5925101830841213e-20
3,Sp43,Extinction,0.5354906364685045,2.4173236543906526e-06
3,Sp44,Extinction,0.5285562357958263,6.247845710141842e-07
3,Sp45,Extinction,0.4465570607645195,1.5079075785968516e-23
3,Sp46,Extinction,0.4564118880571723,1.1417009926289062e-22
3,Sp47,Survival,0.5422255523163613,0.002393824376470763
3,Sp48,Survival,0.5408915286097972,2.807604963909354e-05
3,Sp49,Extinction,0.4824303259054684,4.6365776503155795e-18
3,Sp50,Extinction,0.5075189500718899,2.552701869385083e-12
3,Sp51,Extinction,0.5199034553565669,4.465856945424643e-09
3,Sp52,Extinction,0.4119047762118069,4.328607474940967e-29
3,Sp53,Extinction,0.5176882622158139,8.47111993669113e-12
3,Sp54,Extinction,0.4619571914918299,3.457239938381685e-21
3,Sp55,Extinction,0.49357824225967756,1.4654685709632916e-15
3,Sp56,Extinction,0.5178903908079973,1.1801325639050043e-11
3,Sp57,Extinction,0.4937274864670316,3.009587349955335e-14
3,Sp58,Extinction,0.4828541711356839,7.713560328565735e-17
3,Sp59,Extinction,0.501933019871479,2.9621353102415322e-12
3,Sp60,Survival,0.5726358315395621,37.752729163519405
3,Sp61,Extinction,0.5029197499302311,1.0150336016636748e-13
3,Sp62,Survival,0.5367989956073969,2.2664211704609967e-05
3,Sp63,Extinction,0.5025407023142103,1.5292260397131948e-14
3,Sp64,Extinction,0.48116195537192336,3.8824235234855154e-17
3,Sp65,Extinction,0.4920738291434388,5.337399083191627e-16
3,Sp66,Extinction,0.5209596001905432,2.715396839699768e-09
3,Sp67,Extinction,0.4778113609266555,1.1756154605487937e-17
3,Sp68,Extinction,0.47509595954609385,4.670444944905411e-19
3,Sp69,Extinction,0.5115938694207448,1.3619369786700369e-11
3,Sp70,Extinction,0.49779688474430206,1.8000052156513649e-13
3,Sp71,Extinction,0.5238456812647023,8.0986329915715e-08
3,Sp72,Extinction,0.5240491129864256,4.3256776667957685e-08
3,Sp73,Extinction,0.5083759699031387,9.538170958702941e-12
3,Sp74,Extinction,0.4981725966812473,4.559666837595574e-15
3,Sp75,Survival,0.5648193465927133,8.008214380081787
3,Sp76,Extinction,0.523320991218235,6.119015132840909e-09
3,Sp77,Extinction,0.5013515184141515,4.741427678225483e-13
3,Sp78,Survival,0.5392950852624167,5.927360731271574e-05
3,Sp79,Survival,0.5461886018356964,0.00013072095674378868
3,Sp80,Extinction,0.49603911145137386,9.145578933643576e-14
3,Sp81,Extinction,0.49645281441908146,6.5113609082761e-14
3,Sp82,Extinction,0.4706817279815201,4.278650624709201e-21
3,Sp83,Extinction,0.5089373223002803,6.411526319488572e-12
3,Sp84,Extinction,0.4867484750714002,6.745634758918272e-18
3,Sp85,Extinction,0.5021607756593526,1.4744292428699467e-13
3,Sp86,Extinction,0.4830601313323737,1.6091657141512164e-16
3,Sp87,Extinction,0.4965095968055664,3.419978534921922e-14
3,Sp88,Extinction,0.442279131558216,8.689412041289301e-25
3,Sp89,Extinction,0.5103151961717072,1.970744490699962e-11
3,Sp90,Extinction,0.4630343918541872,7.028180057454428e-21
3,Sp91,Extinction,0.4872748156887735,1.4549205490714077e-16
3,Sp92,Survival,0.554268038023438,0.1422654847079991
