b,N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Competition1,Competition2,Competition3
0.352,44,13,13,15,0.3226334658402302,0.3703174971447627,0.3561902742180532,0.5460624818046234,0.5517157023128315,0.5487830477681622,0.032631821367243914,0.030695041602866253,0.03168676539293727
0.37,43,16,19,18,0.3702889855512468,0.3895304992590033,0.36297096802479933,0.5548177768135214,0.552640662202603,0.5517413091646741,0.03213302784834816,0.03143118297896078,0.03177502020366635
0.388,42,13,16,16,0.42509930400070967,0.4098226264057379,0.4176901896491396,0.5689188418672181,0.5656813362486172,0.5683965862912204,0.03141704124392217,0.03142008518691721,0.03144718026266204
0.406,42,23,15,21,0.4092031796901187,0.3870250245873891,0.4213457272680582,0.5695001490787127,0.571762158019759,0.57413598309705,0.03157592915778022,0.031544800442919206,0.031585491815557476
0.42400000000000004,41,15,16,13,0.4435992993834098,0.4523507765511204,0.4492563863256038,0.5762450199641667,0.5740731810485157,0.5826153686187697,0.03249414784461133,0.030038093468303762,0.031300832973172335
0.44200000000000006,40,19,21,16,0.48604637568661313,0.4247507237461667,0.45404040541429846,0.5829316134429029,0.5844010307546997,0.5878232505507353,0.029921799357302555,0.031015041589787306,0.030485560519160904
0.4600000000000001,39,19,11,14,0.49504359250231583,0.4876756754309201,0.4938745727022763,0.596677394879739,0.6023521432104753,0.6035356516135341,0.03175818435301986,0.032246312311402715,0.03198769496845135
0.4780000000000001,39,17,17,18,0.48675893863651587,0.47251616821932574,0.49808017058348597,0.60443278541492,0.605445470090607,0.6066107636145177,0.03293852768260138,0.03163153681364884,0.03226881332913313
0.496,38,13,19,22,0.5421812039467329,0.5087841924063992,0.5335254683722137,0.6155603818732074,0.614480558741479,0.6168949870839106,0.030473421792704136,0.030707407681781436,0.030586588802161967
0.514,37,20,21,18,0.5242148031262543,0.5242616432158507,0.5453708333319681,0.6223881217334251,0.6228609979961134,0.6253232763060285,0.031014971948447666,0.03164839097208694,0.0313055782530276
0.532,36,14,18,19,0.5763653844367613,0.5450446342880064,0.5902470889276092,0.6349881796475545,0.6302546160069621,0.6362127007677241,0.03134715999398204,0.03142723134595198,0.031350487591716984
0.55,35,18,13,13,0.584625986546394,0.5953545755292053,0.6031206096052144,0.6460370424696664,0.6498839746108158,0.6504427875513891,0.03177992099049215,0.031072399763890698,0.03142206553944081
0.5680000000000001,34,15,17,21,0.6101903257527979,0.6272009826935276,0.6269349529356415,0.6510312691149028,0.6499713871057976,0.6537818993386686,0.03153408611231219,0.03137416020040335,0.03147270068450202
