N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Niche_overlap1,Niche_overlap2,Niche_overlap3
25,16,14,19,0.7292456633331821,0.7243416349581008,0.7269171073989807,0.30877316051349823,0.313612029216726,0.31709656332764924,0.5665710073631777,0.5556593560492212,0.5616349960873265
26,17,19,25,0.7231157125840301,0.7262111272150885,0.7247723605299567,0.2949645034131457,0.29035261342844987,0.2997645203902951,0.5477614551709192,0.5567244188129536,0.5523125718203042
27,17,19,22,0.7325960916600468,0.7334865756086559,0.7329803322079692,0.2700116354682385,0.2854261462453882,0.29034541298843974,0.5629433198569174,0.565735271026147,0.5647286080669057
28,14,18,17,0.7384026007584179,0.7509782743430645,0.7446624160557817,0.2925104803974032,0.27283754320580506,0.29765952816863767,0.5722047559845351,0.586639351504825,0.579546973680029
29,15,25,20,0.7287242240257673,0.7416305138147622,0.7352406997013952,0.29420887634145815,0.2564257793905167,0.2951217091646673,0.5554328821535679,0.5719746791393067,0.563798436549159
30,18,16,18,0.7355917546100086,0.763121721250563,0.7493393979572489,0.2890254919427124,0.27282085558172325,0.29935281536031155,0.5657172838253528,0.6039878546341375,0.585020147842143
31,17,15,17,0.740926166666132,0.7600934993889196,0.7504603894927513,0.28674386411808767,0.2795670159569242,0.2999509241175703,0.5710140674591796,0.5999800775807899,0.5857068280102036
32,11,13,14,0.755096032327018,0.757716456435065,0.756296107300089,0.30870152505289655,0.3161448220280365,0.3273446269552277,0.5925331615252314,0.5939242829072092,0.5929983021991434
33,15,13,14,0.7501343381710879,0.7610580214645446,0.755514914981172,0.29236860397604225,0.31789066393702303,0.32163937070577797,0.5841903746984615,0.601853852900152,0.5929916747165533
34,17,16,19,0.7513002375777779,0.760746784220383,0.7560855909465518,0.29775789555908183,0.2735296149660378,0.2964657447912903,0.588113328741091,0.5977990387628583,0.5925416447509017
35,15,16,18,0.7651776465484473,0.7672390567788107,0.7663428434734465,0.2991467974164662,0.3162285528463188,0.32189330529418103,0.6076402178742576,0.6100529170055033,0.6085442436624978
36,12,12,13,0.7666026773155046,0.7607292186497118,0.7637142831940689,0.2955717427283447,0.3193904785418181,0.3302859147592446,0.610566553286454,0.5996500580598602,0.6051742412367157
37,10,20,14,0.7646360603550966,0.7637985636612269,0.7641780156163194,0.3044703334075709,0.2977907493803067,0.3114590626391113,0.6045127879762475,0.6065721301943057,0.6051986056481402
38,13,18,20,0.7657786702972298,0.788476645921779,0.7771595614012136,0.29944718165460976,0.2634269041936569,0.29487552506553844,0.608331937309443,0.6420190139001011,0.6249628897476441
39,16,18,23,0.7846196268225941,0.7674771408333648,0.7759712859814454,0.26578177478269827,0.2642955509628856,0.27557825741209413,0.6360543746944315,0.6078403268822296,0.6218599044603993
40,12,14,14,0.7923752144489336,0.785166970869941,0.7886507717213017,0.3035632393133256,0.26953219240405996,0.301372824741421,0.6481931156517587,0.6367609268252873,0.6424925513033272
41,17,17,17,0.7703559322218229,0.787113776725596,0.7786657847798635,0.2570282306635683,0.2706345791439958,0.27236898062251813,0.613236393463288,0.6413588129596057,0.6268232915280729
42,12,17,18,0.7823495344527494,0.7606684598659222,0.7715295587272603,0.2695907525409919,0.27591813921127045,0.28544435422747877,0.6319593261921164,0.5981240423986816,0.6146803056578817
43,14,18,21,0.7589864231291765,0.7768570379834266,0.7679404989321538,0.27978615679423463,0.2709962733555708,0.28743948962166416,0.5953542085077672,0.6223479481535166,0.6085219036024702
44,15,16,13,0.7633287855825587,0.7747796573984708,0.7691006396416774,0.28442445683952217,0.2855533195661831,0.30438779576874114,0.600776628623791,0.6201805430709613,0.6107884945840463
45,11,19,17,0.7975504069247877,0.7879754522377179,0.7928339221157591,0.2885361639452609,0.2819058626655093,0.30028938507764263,0.6533227413857059,0.6394519897748973,0.646701929091991
46,14,11,18,0.7809634813168727,0.7767050856524392,0.7789016835075462,0.3195762698515604,0.2860648549612178,0.3221670606011809,0.6306751839991787,0.6235917228967754,0.6266828140836547
47,15,14,20,0.7706372199374287,0.7830905251738255,0.7768502284191809,0.2770015605813762,0.28846171497921147,0.2992533135324044,0.613413279638661,0.6322018295934763,0.6225820461717637
48,16,19,21,0.7730497177924637,0.7804684575319357,0.7766849718430915,0.27768710784744854,0.26845143013189793,0.2812863873731639,0.6161114508565442,0.6285367365554921,0.6223331337953975
49,18,14,14,0.7813810143297115,0.784263952660514,0.7827937581362607,0.2792315382374247,0.2877937608299181,0.2951949778155124,0.6306416830863565,0.6320265100153889,0.6308197835535339
50,21,15,22,0.7844317942542416,0.7935012935449351,0.7890721817641438,0.2517071325851524,0.26708830513253307,0.268761484213812,0.6319885133421315,0.647126152940647,0.6396214038373268
