b,N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Niche_overlap1,Niche_overlap2,Niche_overlap3
0.4780000000000001,39,15,21,23,0.7683108106310301,0.7437239207772705,0.7560238237245749,0.20934946391758552,0.19265400382249437,0.21078645524923356,0.5978598653174545,0.561013568812422,0.5795611448725692
0.496,38,11,13,13,0.763670361087049,0.7711122659984244,0.7673123151413613,0.2368465168551614,0.23183800686264197,0.2425950952607129,0.592038537386974,0.6030715276193686,0.5976337834458667
0.514,37,22,15,19,0.7491542016177691,0.7613779636841909,0.7552474193525852,0.19112896878840524,0.21843945314564736,0.21782427316742667,0.571129429883193,0.5890608857023464,0.5800012322527013
0.532,36,10,13,14,0.7516472163178605,0.7625310510864117,0.7570227933211902,0.27305804176795695,0.22470989834417876,0.27027221667796963,0.5734687677298985,0.5907466705531356,0.5822793290626003
0.55,35,20,20,27,0.7611033853208956,0.7590154755555268,0.7601121983435153,0.19413165597770965,0.20843365028576857,0.20778440926961514,0.5880906214517615,0.5843810987588062,0.5869327667397755
0.5680000000000001,34,14,10,13,0.77056288553227,0.7631278727042468,0.7668084036648012,0.2225656053374678,0.24928556115335854,0.2483083805239731,0.6028893394901637,0.5911193747301203,0.596003362600207
0.5860000000000001,33,15,14,17,0.769057488941219,0.7800992012636644,0.7745758959489335,0.23292543779369745,0.22921096669204666,0.24753915369290458,0.5970865316148708,0.6162976735430431,0.6067762617357099
0.604,32,15,10,12,0.7904722908289571,0.7798198870659706,0.785147278919793,0.23755503039698134,0.2752291274720703,0.2755908101918573,0.6321332096333596,0.6154186955692733,0.6244069505107857
0.622,31,17,16,18,0.7889276203129415,0.7719494099329509,0.7804864319570641,0.21943632027804125,0.22480934860766857,0.22860817609376188,0.6308839787811866,0.6053376580835954,0.6181741355917457
0.64,30,16,15,19,0.7942346617952335,0.7842714580668204,0.7891865151907486,0.21556181614974848,0.2322066297282788,0.24699471599560327,0.6392335967827366,0.6223612262913149,0.6305857493989476
0.658,28,15,11,19,0.7864155255143284,0.7905901337238247,0.7884351865228076,0.22601279628174567,0.23779624717588876,0.24318203894542348,0.6269989442808688,0.6332122224309884,0.6294629159704616
