N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Niche_overlap1,Niche_overlap2,Niche_overlap3
15,100,99,199,0.48314034116854176,0.45524848163601445,0.46986002212171996,0.6009760879449348,0.5997467498348334,0.6003614190424197,0.2949422375104399,0.27123184673834494,0.2852756305060607
16,96,100,196,0.4720595238048898,0.47121196487269384,0.4726739790315238,0.5985909946672244,0.5992028064843367,0.5988969005948307,0.2864746344086276,0.2849789682670821,0.28822295288658834
17,100,100,200,0.4740170569249478,0.48500611499958923,0.48032199383446067,0.5997964943984105,0.5997643993882452,0.599780446895918,0.2886647981232206,0.29860179155817723,0.2961099227839789
18,95,72,167,0.48681187683955357,0.48185777205315583,0.48499070008715567,0.5998229955896929,0.6009666206168247,0.6003948003035848,0.2936630018208731,0.2907751483909513,0.2941624441611992
19,100,98,198,0.4938007972415823,0.49570543085462265,0.4954646384624749,0.6007286636675543,0.6002036841180959,0.6004661738417717,0.2997599957480788,0.30202215483354505,0.3036041386282817
20,100,87,187,0.4989232840619686,0.5141682615512633,0.5072471786087583,0.600685207736516,0.5978849072907672,0.5992850602880025,0.30193124603675536,0.31905818943836883,0.31282478495250493
21,76,100,176,0.5058116526371215,0.5096753539026818,0.5086115047206572,0.5979897955418013,0.5993213427780072,0.5986555733402276,0.31235205318565984,0.3144057111117846,0.31528954499175815
22,100,95,195,0.5110828535453933,0.504127539627835,0.508292698858391,0.6009186463140678,0.6000933599224191,0.6005060028851866,0.31642915442304387,0.30855637132265895,0.31475915451451125
23,82,97,179,0.5231362708771978,0.5163914710161466,0.5203459102448229,0.6018464530478211,0.6006616765703698,0.6012540639258858,0.32529016570737457,0.31563514971441015,0.3224349607860196
24,80,100,180,0.5309238444836543,0.49532320391145784,0.5135542118496114,0.6010262747610962,0.6008313068819428,0.6009287902658066,0.33446155128391925,0.2969379417346048,0.31752802056120655
25,100,100,200,0.5354325807001309,0.5251137472695726,0.5311224142137941,0.6009914958873468,0.6000395330243332,0.6005155144809508,0.33784756248524433,0.3279910606466815,0.3355653662357666
26,100,91,191,0.5183574359555972,0.5303385232325153,0.5248522407106221,0.5992005827332892,0.5992284446652536,0.5992145136943593,0.3179330800215792,0.3336059062241609,0.3276200733232155
27,100,99,199,0.5487459411519413,0.5618775787930436,0.555793664680759,0.5997183789409355,0.5994275779697664,0.5995729784550824,0.3466172321509773,0.36241648324409464,0.35636723208379506
28,100,99,199,0.5491545716858406,0.5549215613852669,0.5526252260944543,0.599489924410683,0.5995610082411915,0.599525466332421,0.34751171960555777,0.359713747716016,0.35543460094986556
29,97,100,197,0.543358819470181,0.5777020775794036,0.5609765654871345,0.5999154330953345,0.5997666255367138,0.5998410293197761,0.34201372217795506,0.3820829339576467,0.36383202829013067
30,80,100,180,0.5451274474439726,0.5637165490919147,0.554857375916758,0.6005972333037107,0.5989569530980122,0.599777087211233,0.34389863401592796,0.3618196616767632,0.355077009522889
31,100,100,200,0.535602713962373,0.5780784249082631,0.5572076127749638,0.6003766908469971,0.5993255955401747,0.5998511431429119,0.33296011872786224,0.3826372832387779,0.35929027028533356
32,95,95,190,0.5751619769868124,0.5785057224073262,0.5773068875694408,0.6011879996968928,0.5994225760718929,0.600305288155688,0.37973111047184377,0.38044359045339776,0.3819062153180978
33,100,100,200,0.5775925839885354,0.5720832090979147,0.5753729694936738,0.5999662746323735,0.5987534586079111,0.5993598666513286,0.3769354257123217,0.36982107927784286,0.37557384980600067
