Seed,DilutionRate,Community,Species_ID,Origin,CUE,C_final,Species_Index
50,0.01,Comm2,41,Comm2,0.15821421448472342,3.461417811979273e-05,857
50,0.01,Comm2,42,Comm2,0.11546808879878333,2.992752110213908e-07,947
50,0.01,Comm2,43,Comm2,0.24469474820710116,5.667562808960407,18
50,0.01,Comm2,44,Comm2,0.17904554430745817,0.0002853024953011454,479
50,0.01,Comm2,45,Comm2,0.20409421047864026,0.1670472368269818,373
50,0.01,Comm2,46,Comm2,0.2033294279810352,0.026997257355715256,915
50,0.01,Comm2,47,Comm2,0.17497035584357565,0.001710507794940583,981
50,0.01,Comm2,48,Comm2,0.2565641505380307,16.462998406704934,786
50,0.01,Comm2,49,Comm2,0.16556731810596548,2.1912825121252875e-05,152
50,0.01,Comm2,50,Comm2,0.13656042567899,1.0555266213168496e-06,356
50,0.01,Comm2,51,Comm2,0.11998024296151587,1.0879528182100541e-07,116
50,0.01,Comm2,52,Comm2,0.0985821765558353,1.909967650630481e-09,446
50,0.01,Comm2,53,Comm2,0.16981347738080152,0.00014940337586752031,441
50,0.01,Comm2,54,Comm2,0.15211843464260133,1.018616880274867e-06,929
50,0.01,Comm2,55,Comm2,0.19684335633658165,0.03527943084530062,108
50,0.01,Comm2,56,Comm2,0.10829738826052561,3.888462499388485e-09,124
50,0.01,Comm2,57,Comm2,0.0789078366713793,2.032197594024284e-10,24
50,0.01,Comm2,58,Comm2,0.1344349302557973,3.831289463273877e-06,539
50,0.01,Comm2,59,Comm2,0.13162367104139264,1.3473188695240942e-06,718
50,0.01,Comm2,60,Comm2,0.138324088772848,7.730180160423198e-07,128
50,0.01,Comm2,61,Comm2,0.1828070474614714,0.006174460601996286,188
50,0.01,Comm2,62,Comm2,0.24607270744261092,10.500733589482355,163
50,0.01,Comm2,63,Comm2,0.15180410144772105,1.6706940823125864e-06,612
50,0.01,Comm2,64,Comm2,0.20990746234802068,0.016852961805473396,605
50,0.01,Comm2,65,Comm2,0.09936319508522634,2.7856120297820276e-09,572
50,0.01,Comm2,66,Comm2,0.10067522233486541,1.6715424806621748e-07,405
50,0.01,Comm2,67,Comm2,0.19455681770444586,0.0011790203572994793,226
50,0.01,Comm2,68,Comm2,0.18731088077695468,0.0027198696608987283,954
50,0.01,Comm2,69,Comm2,0.06367215981542593,1.3903694140108396e-10,896
